City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,aasiaat,68.7098,-52.8699,4.39,72,100,2.57,GL,1688389953
281,parauapebas,-6.0675,-49.9022,30.99,54,0,2.06,BR,1688389956
282,sola,-13.8833,167.55,24.78,73,100,10.03,VU,1688389959
283,ambon,-3.6954,128.1814,26.08,89,40,3.09,ID,1688389959
284,balezino,57.9796,53.0106,24.03,61,16,4.42,RU,1688389960
285,urangan,-25.3,152.9,19.84,74,100,7.75,AU,1688389961
286,nar'yan-mar,67.6713,53.087,20.29,68,100,2.8,RU,1688389961
287,inirida,3.8653,-67.9239,24.81,93,83,0.84,CO,1688389848
288,balykshi,47.0667,51.8667,33.0,27,40,11.0,KZ,1688389962
289,mildura,-34.2,142.15,9.48,86,100,1.57,AU,1688389962
290,gaigeturi,33.4644,126.3183,24.22,98,100,2.01,KR,1688389963
291,badger,64.8,-147.5333,15.95,69,20,0.0,US,1688389847
292,gadzhiyevo,69.2551,33.3362,9.44,90,100,4.62,RU,1688389964
293,iguape,-24.7081,-47.5553,19.84,76,94,4.52,BR,1688389964
294,vernon,50.2581,-119.2691,13.5,51,0,0.89,CA,1688389712
295,minas de marcona,-15.2119,-75.1103,13.54,81,28,2.02,PE,1688389965
296,puerto penasco,31.3167,-113.5333,27.73,81,0,4.92,MX,1688389965
297,karungdong,5.8844,121.263,25.55,88,100,0.48,PH,1688389966
298,black point,-34.6187,137.8972,11.27,73,100,4.46,AU,1688389967
299,hilo,19.7297,-155.09,22.36,97,100,3.09,US,1688389967
300,ujae,8.9322,165.7642,28.42,78,35,7.98,MH,1688389968
301,pagar alam,-4.0167,103.2667,21.27,96,99,0.73,ID,1688389968
302,vacaria,-28.5122,-50.9339,16.49,63,13,4.33,BR,1688389968
303,lerwick,60.1545,-1.1494,13.0,83,100,6.44,GB,1688389969
304,sawakin,19.1059,37.3321,35.38,42,100,4.98,SD,1688389969
305,bam,29.106,58.357,42.51,9,5,5.52,IR,1688389970
306,paita,-5.0892,-81.1144,22.35,77,28,4.44,PE,1688389970
307,takoradi,4.8845,-1.7554,26.47,79,99,2.96,GH,1688389971
308,kunszentmarton,46.8392,20.2888,30.56,39,0,2.57,HU,1688389971
309,burang,30.25,81.1667,13.85,64,86,3.59,CN,1688389971
310,onega,63.9061,38.1404,14.67,92,100,3.18,RU,1688389972
311,antonio enes,-16.2325,39.9086,26.59,55,31,3.45,MZ,1688389972
312,tulun,54.5611,100.5792,15.89,83,100,3.34,RU,1688389973
313,tamanrasset,22.785,5.5228,37.95,9,0,4.12,DZ,1688389974
314,aral,40.5156,81.2636,36.27,10,6,4.54,CN,1688389975
315,holualoa,19.6228,-155.9522,24.93,84,20,2.06,US,1688389975
316,tiruchchendur,8.4833,78.1167,29.14,66,100,6.55,IN,1688389976
317,loukhi,66.0764,33.0381,15.86,50,31,4.39,RU,1688389976
318,baoqing,46.3317,132.2111,19.63,85,4,1.27,CN,1688389977
319,kirakira,-10.4544,161.9205,26.31,85,100,6.74,SB,1688389977
320,sant antoni de portmany,38.9807,1.3036,29.99,62,20,3.6,ES,1688389978
321,warrnambool,-38.3833,142.4833,9.73,81,100,2.82,AU,1688389978
322,machico,32.7,-16.7667,26.51,70,20,8.23,PT,1688389760
323,klyuchi,52.2667,79.1667,30.52,27,31,3.36,RU,1688389979
324,elk city,35.412,-99.4043,22.99,94,75,1.54,US,1688389934
325,ndelele,4.0333,14.9333,27.48,73,14,1.46,CM,1688389884
326,taguatinga,-12.3857,-46.5711,28.58,29,85,3.04,BR,1688389981
327,ceylanpinar,36.8472,40.05,40.61,7,0,3.69,TR,1688389687
328,ancud,-41.8697,-73.8203,9.41,88,100,8.98,CL,1688389982
329,constantia,44.1833,28.65,28.38,72,40,4.33,RO,1688389872
330,val-d'or,48.1002,-77.7828,23.05,60,0,2.57,CA,1688389904
331,hsinchu,24.8036,120.9686,30.5,69,15,0.89,TW,1688389984
332,jamestown,42.097,-79.2353,21.12,91,100,3.6,US,1688389938
333,juan griego,11.0817,-63.9655,28.64,72,100,3.68,VE,1688389985
334,yarega,63.4354,53.5765,23.17,62,2,1.77,RU,1688389985
335,kongolo,-5.3833,27.0,34.09,23,14,2.5,CD,1688389986
336,vilyuysk,63.7553,121.6247,19.64,68,98,2.02,RU,1688389986
337,nogliki,51.8333,143.1667,8.61,97,97,2.86,RU,1688389721
338,dalandzadgad,43.5708,104.425,21.35,17,14,8.66,MN,1688389695
339,great falls,47.5002,-111.3008,13.25,65,100,2.57,US,1688389987
340,namtsy,62.7161,129.6658,20.46,70,2,3.2,RU,1688389988
341,radomyshl,50.4961,29.2291,25.61,41,13,4.8,UA,1688389988
342,urumqi,43.801,87.6005,30.53,12,0,3.0,CN,1688389989
343,maba,24.6841,113.5984,25.76,93,90,1.82,CN,1688389989
344,posto fiscal rolim de moura,-13.0833,-62.2667,23.82,45,0,1.49,BR,1688389990
345,almodovar del rio,37.8336,-5.0167,37.49,27,20,4.63,ES,1688389990
346,waterloo,43.4668,-80.5164,20.31,97,100,3.09,CA,1688389914
347,tres isletas,-26.3407,-60.4321,22.01,51,77,3.66,AR,1688389991
348,south sioux city,42.4739,-96.4136,23.44,72,0,2.24,US,1688389992
349,fisterra,42.9049,-9.2629,26.68,81,6,8.38,ES,1688389992
350,tanacu,46.6833,27.8167,27.23,50,82,2.91,RO,1688389992
351,laguna,38.421,-121.4238,23.38,59,0,3.09,US,1688389993
352,saudarkrokur,65.7461,-19.6394,7.01,81,100,6.71,IS,1688389994
353,veraval,20.9,70.3667,29.19,83,100,5.08,IN,1688389763
354,portage la prairie,49.9728,-98.2926,18.29,69,0,2.68,CA,1688389994
355,kantilo,20.35,85.1833,31.69,64,58,4.19,IN,1688389995
356,la ronge,55.1001,-105.2842,13.14,88,100,5.14,CA,1688389995
357,rongelap,11.1635,166.8941,28.45,75,53,7.7,MH,1688389996
358,zintan,31.9223,12.252,34.94,20,12,1.94,LY,1688389996
359,ust'-kulom,61.6864,53.6902,23.0,69,14,3.05,RU,1688389997
360,dolores,-36.3132,-57.6792,14.5,90,64,2.81,AR,1688389997
361,gaspe,48.8334,-64.4819,21.4,80,100,0.83,CA,1688389704
362,qom,34.6401,50.8764,38.68,14,0,6.43,IR,1688389998
